source,scraped_at,url,sku,title,price,currency,category,page,position,rank,ticker,consolidated,market_cap_cr,pe,dividend_yield_pct,net_profit_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,roce_pct,extra_metrics
screener.in,2026-09-25T09:16:57.869422+00:00,https://www.screener.in/company/SPARC/,3244,SPARC,210.0,INR,Magic Formula,1,1,1,SPARC,False,6814.96,4.34,0.0,-20.98,59.68,39.92,314.11,164.99,"{""Book value (Rs.)"": 41.09, ""Earnings yield (%)"": 22.73, ""Return on invested capital (%)"": 134.34}"
screener.in,2026-09-25T09:16:57.869917+00:00,https://www.screener.in/company/532015/,1203,Gravity (India),14.46,INR,Magic Formula,1,2,2,532015,False,112.82,6.03,0.0,6.01,8485.71,60.0,19254.84,158.68,"{""Book value (Rs.)"": 1.91, ""Earnings yield (%)"": 22.28, ""Return on invested capital (%)"": 88.05}"
screener.in,2026-09-25T09:16:57.870015+00:00,https://www.screener.in/company/WAAREEINDO/,1468,Indosolar,230.0,INR,Magic Formula,1,3,3,WAAREEINDO,False,956.88,5.76,0.0,36.62,-68.64,68.36,-64.89,123.8,"{""Book value (Rs.)"": 68.98, ""Earnings yield (%)"": 22.55, ""Return on invested capital (%)"": 80.16}"
screener.in,2026-09-25T09:16:57.870099+00:00,https://www.screener.in/company/531583/consolidated/,2676,Rap Corp,31.16,INR,Magic Formula,1,4,4,531583,True,18.32,0.42,0.0,0.06,112.77,0.0,,108.24,"{""Book value (Rs.)"": 83.25, ""Earnings yield (%)"": 135.47, ""Return on invested capital (%)"": 185.08}"
screener.in,2026-09-25T09:16:57.870169+00:00,https://www.screener.in/company/538787/,1162867,Goenka Business,12.93,INR,Magic Formula,1,5,5,538787,False,16.82,3.36,3.83,0.11,132.35,24.41,210.96,83.14,"{""Book value (Rs.)"": 27.69, ""Earnings yield (%)"": 246.31, ""Return on invested capital (%)"": 83.14}"
